;Unnamed: 0.1;Unnamed: 0;GV_Key;Date_cal;Ticker Symbol;Company Name;Quarter;Fiscal Data Year and Quarter;Final Date;Date_rep;Assets;Cash;Long-Term Debt;Net Income;EBIT;EBITDA;Revenue;Stockholders Equity;HQ;Share_Price;Share_Price_BD;Div_Per_Share_Ann;Div_Yield;Market_Cap;Beta_1Y;Beta_2Y;Beta_5Y;Rev_1y_Growth;Rev_2y_Growth;Primary Industry;Industry Sector;Industry Group;Industry;Shares_out;EBITDA_Margin;Profit_Margin;Leverage;Debt/Assets;Cash/Assets;ROE;P/B;P/Sales;P/EBITDA;P/EBIT;P/E;Universe;P/EBIT AVG;P/EBITDA AVG;P/Sales AVG;P/E AVG
0;0;0;GV_001076;31.03.2017;PRG;PROG HOLDINGS INC;2017Q1;2017Q1;16.05.2017;28.04.2017;0.097081316;0.570735557;0.003604862;0.447246796;0.404366351;2.360399369;0.535304294;0.356434024;31;-0.05603408;30.10073;0.076086957;0.035352736;0.050090407;0.89667412;0.249993182;-1.033081827;-0.435213485;-0.132027888;32;4;9;14;0.121350913;2.223158329;0.042495571;-0.225850105;-0.406233201;0.429027583;0.209782962;-0.262692855;-0.362860286;-0.705684281;-0.293186598;-0.158742094;Value;-0.25;-0.27;-0.33;-0.04
24;24;24;GV_001161;31.03.2017;AMD;ADVANCED MICRO DEVICES;2017Q1;2017Q1;08.05.2017;01.05.2017;0.209953776;1.563304115;0.471853499;-0.649270206;-0.40506294;-0.213536062;0.892050074;-0.202145827;31;-0.357074633;13.62;-0.043478261;-0.125988611;1.734559261;2.43608161;2.565475054;1.847174267;0.682267556;-0.754833703;125;7;18;59;7.898439531;-0.758593717;-0.750182723;0.619360884;1.087226938;1.083208554;-2.209562574;9.9245076;0.479007921;18.23857929;-15.32465597;-4.68963457;Growth;-15.32;18.24;0.48;-4.69
48;48;48;GV_001209;31.03.2017;APD;AIR PRODUCTS & CHEMICALS INC;2017Q1;2017Q2;28.04.2017;27.04.2017;2.648493293;4.612148608;1.431594728;26.83353716;2.760462203;3.084280711;1.750197392;4.41067221;31;1.603201099;120.93702;4.086956522;1.293973426;4.672719788;-0.10205422;-0.07385011;0.271032712;-0.906577111;-1.280925128;78;8;14;9;1.435174645;0.818464644;8.850955757;-0.225906301;-0.257743609;0.214786606;4.177326005;0.271567055;0.727251626;0.35859918;0.504794336;-0.454262196;Value;-0.03;-0.23;-0.27;-0.1
72;72;72;GV_001254;31.03.2017;MATX;MATSON INC;2017Q1;2017Q1;17.05.2017;03.05.2017;-0.001662424;-0.303525185;0.137485822;-0.141035211;-0.181046032;-0.105644878;0.139285516;-0.172916433;31;-0.114744251;26.88659;0.782608696;1.175867342;-0.152304713;0.202822806;0.499807134;-0.072802452;-0.358257596;0.020017329;92;6;22;46;-0.132465111;-0.413416898;-0.378138295;0.414169449;0.736472173;-0.507355361;-0.217207954;0.129409482;-0.373473281;0.012254027;0.967119973;1.1638412;Growth;-0.13;-0.33;-0.38;0.25
96;96;96;GV_001327;31.03.2017;SWKS;SKYWORKS SOLUTIONS INC;2017Q1;2017Q2;04.05.2017;27.04.2017;0.35517008;3.38336303;-0.242221565;2.627574925;1.964925127;1.660573764;0.542949626;1.529503771;31;1.095212553;93.12674;1.173913043;0.440709691;2.785483955;0.411542761;1.378091212;-0.393344226;-0.471205084;0.099628406;125;7;18;59;1.138497253;1.402510667;1.790541437;-0.870617467;-1.535203907;1.986087704;0.704909816;0.89316231;1.425658578;0.505094655;0.360407537;0.22511876;Value;0.31;0.45;0.08;0.17
120;120;120;GV_001440;31.03.2017;AEP;AMERICAN ELECTRIC POWER CO;2017Q1;2017Q1;29.04.2017;27.04.2017;9.987422089;0.109701799;8.238535558;7.294442768;6.611494917;7.403353189;3.839878655;8.65589607;31;0.377916019;53.85771;2.52173913;1.701175788;5.126542838;-1.028507546;-1.159961816;-0.924678443;-0.301534714;-0.427347228;45;10;23;21;3.889368911;1.055741992;0.803218827;0.075115908;0.543477695;-0.558660198;0.166142809;-0.199515076;0.061478337;-0.303012423;-0.192196405;-0.111693171;Value;-0.27;-0.34;0.01;-0.09
144;144;144;GV_001659;31.03.2017;ANDE;ANDERSONS INC;2017Q1;2017Q1;18.05.2017;03.05.2017;0.019648629;-0.276565778;-0.044394878;-0.269224783;-0.256934728;-0.180906115;0.543287707;-0.013581942;31;-0.042140066;30.86137;0.652173913;0.811320257;-0.203920424;-0.350726663;0.646073523;0.254590319;-0.749620317;-0.842906079;53;2;6;15;-0.264392439;-0.689257055;-0.53803304;-0.24068033;0.301120786;-0.475978146;-0.612584584;-0.401440286;-0.516501352;0.159059372;5.120009311;-3.577602703;Value;0.23;0.08;-0.49;0.4
168;168;168;GV_001686;28.02.2017;APOG;APOGEE ENTERPRISES INC;2017Q1;2016Q4;03.05.2017;13.04.2017;-0.210792309;-0.303623509;-0.209053589;0.063770786;-0.04356456;-0.08221137;-0.032187746;-0.170624664;31;0.202530583;44.25608;0.565217391;0.456158389;-0.131669336;1.229332029;1.018729423;0.546952064;0.271542553;0.177522698;18;6;1;7;-0.2605921;-0.122074599;0.133726502;-0.579641607;-0.500010267;-0.391680013;0.492915569;0.211905675;-0.210754132;0.002851243;0.033836224;-0.003348441;Value;0.34;0.28;0.08;0.51
192;192;192;GV_001722;31.03.2017;ADM;ARCHER-DANIELS-MIDLAND CO;2017Q1;2017Q1;02.05.2017;02.05.2017;6.289526889;0.909581684;2.778397099;4.077315249;2.539611612;3.000365346;15.66703381;8.356793889;31;0.029898414;34.80518;1.347826087;1.493593799;3.517504845;-0.985173281;-0.089856032;-0.219607796;-0.539493999;-1.075330409;2;2;10;27;4.644847583;-0.628899271;-0.309742089;-0.345942631;0.056631688;-0.488916631;-0.117847959;-0.374017945;-0.484789586;0.097441555;0.279939469;0.041012889;Value;0.28;0.1;-0.41;0.04
216;216;216;GV_001743;31.03.2017;ARCB;ARCBEST CORP;2017Q1;2017Q1;19.05.2017;05.05.2017;-0.133845908;-0.136764845;-0.157488545;-0.324088751;-0.348631261;-0.221967558;0.328319717;-0.108634291;31;-0.264379804;18.69466;0.304347826;0.728276917;-0.287087056;1.183133035;1.270834389;0.703845956;-0.309411494;-0.320022331;20;6;22;29;-0.287669514;-0.702829654;-0.605456793;-0.401931317;-0.085362143;-0.077854989;-0.790475145;-0.555200365;-0.54555157;-0.048704716;-1.734201274;-1.271806796;Growth;-0.47;-0.56;-0.52;-0.37
240;240;240;GV_001773;31.03.2017;ARW;ARROW ELECTRONICS INC;2017Q1;2017Q1;05.05.2017;04.05.2017;1.90348161;1.030658519;1.005304594;1.227857631;1.372269794;1.086130274;5.769378124;1.92110956;31;0.768672181;75.25;-0.043478261;-0.125988611;0.727250215;0.341839016;0.380674446;0.225743379;-0.341673577;-0.222952968;133;7;20;23;0.282184119;-0.606480158;-0.332514546;-0.230682593;0.367942966;-0.284801547;-0.00567451;-0.344986589;-0.501670708;-0.094819663;-0.159635721;0.034703871;Value;-0.08;-0.19;-0.47;0.37
264;264;264;GV_001794;31.03.2017;ASH;ASHLAND INC;2017Q1;2017Q2;06.05.2017;25.04.2017;1.195075213;1.252387349;1.18389994;0.938964154;0.291526739;0.471487328;0.494056305;1.197384148;31;0.436787846;57.0807;1.652173913;0.518796794;0.93259866;-0.21636389;-0.16305936;-0.066363727;-1.715610494;-2.223627419;130;8;14;9;0.03783309;0.1025807;0.48643326;0.198064533;0.359329074;-0.079626074;0.07951628;0.018602146;-0.17565329;-0.140342673;0.149338376;-0.177898322;Growth;0.02;-0.23;-0.28;0.2
288;288;288;GV_001823;31.03.2017;ATRO;ASTRONICS CORP;2017Q1;2017Q1;29.05.2017;04.05.2017;-0.241142818;-0.326742961;-0.171770554;-0.082753363;-0.144364253;-0.183669042;-0.205218747;-0.23434423;31;-0.077093199;28.94783;-0.043478261;-0.125988611;-0.211680881;1.046730017;1.575227445;0.789550108;-0.880505725;-0.688395403;1;6;1;0;-0.257033764;-0.001084106;0.154902476;-0.06675382;-0.413162591;-0.444608937;0.167105811;0.109538009;-0.060519036;0.144575732;0.160200476;0.18470012;Value;0.53;0.14;-0.37;1.11
